# spin p0 e0 inclination pos Edot_tot Ldot_tot Qdot_tot Edot_hor Edot_inf Ldot_hor Ldot_inf Qdot_hor Qdot_inf elapsed  iu iw iz
9.8999999999999999e-01 1.4782116751162881e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5600000000000000e+02 8.9075655953771496e-02 2.4827481338420748e-01 0.0000000000000000e+00 -8.4396520179234602e-03 9.7515307971694873e-02 -2.3523296094109542e-02 2.7179810947831728e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 0
9.9943765867480960e-01 1.1703051822331749e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3000000000000000e+02 7.9212635848685056e-02 1.7945474890137836e-01 0.0000000000000000e+00 -1.0658518395734833e-02 8.9871154244420021e-02 -2.4146674604050140e-02 2.0360142350542856e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 1
9.9996837722339826e-01 1.0761466695695716e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.7600000000000000e+02 4.8721305219603939e-02 1.0311064800879241e-01 0.0000000000000000e+00 -7.2828705526449128e-03 5.6004175772248858e-02 -1.5413000506916082e-02 1.1852364851570839e-01 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 2
9.9999822172058994e-01 1.0432708450441162e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3200000000000000e+02 3.1178536646299753e-02 6.4402436532337126e-02 0.0000000000000000e+00 -4.8170117094912448e-03 3.5995548355790982e-02 -9.9500273029283406e-03 7.4352463835265462e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 3
9.9999990000000005e-01 1.0311293962945765e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.4200000000000000e+02 2.3478312535249735e-02 4.8061409287451930e-02 0.0000000000000000e+00 -3.6635350394247394e-03 2.7141847574674440e-02 -7.4994596270221790e-03 5.5560868914474121e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 4
9.9999999437658671e-01 1.0265435573430977e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5200000000000000e+02 2.0375135099125065e-02 4.1566872670322573e-02 0.0000000000000000e+00 -3.1895024470939750e-03 2.3564637546219052e-02 -6.5068349954514118e-03 4.8073707665773985e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 5
9.9999999968377229e-01 1.0247962444980552e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.6200000000000000e+02 1.9162854584712747e-02 3.9042859694857837e-02 0.0000000000000000e+00 -3.0031852909197941e-03 2.2166039875632541e-02 -6.1187617655138523e-03 4.5161621460371663e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 6
9.9999999998221722e-01 1.0241282231884490e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.3600000000000000e+02 1.8694893582748225e-02 3.8070464106926979e-02 0.0000000000000000e+00 -2.9311189936456778e-03 2.1626012576393901e-02 -5.9689593817048893e-03 4.4039423488631824e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 7
9.9999999999900002e-01 1.0238724878578676e+00 0.0000000000000000e+00 1.0000000000000000e+00 7.5500000000000000e+02 1.8515080514145198e-02 3.7697103850413513e-02 0.0000000000000000e+00 -2.9034080016470377e-03 2.1418488515792217e-02 -5.9114014046329324e-03 4.3608505255046379e-02 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 1 0 8
9.8999999999999999e-01 1.5058746787877642e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.3700000000000000e+02 8.7417876837167785e-02 2.4579020692670364e-01 -5.8232003777081467e-17 -8.2176267682761081e-03 9.5635503605444122e-02 -2.3101326255157956e-02 2.6889153318186099e-01 5.4740390675497153e-18 -6.3706042844630639e-17 1.6511939763696864e+02 1 1 0
9.9943765867480960e-01 1.1968097589805746e+00 5.0000000000000003e-02 1.0000000000000000e+00 8.1100000000000000e+02 8.0117699168416809e-02 1.8354855390770880e-01 -3.5419055279191797e-16 -1.0645309832988389e-02 9.0763009001404424e-02 -2.4393330107301874e-02 2.0794188401500963e-01 4.7072872616305714e-17 -4.0126342540821980e-16 4.2221115863905288e+02 1 1 1
